"0","21","37","49","70"
0,1,0,0,0
0,0,1,0,0
1,0,0,0,0
0,1,3,0,2
1,0,3,0,0
0,1,3,2,2
0,1,1,1,0
0,3,2,4,0
0,0,3,0,0
0,1,4,4,4
0,1,1,3,5
0,0,2,4,4
0,0,1,2,4
1,0,0,0,3
0,0,0,0,3
0,0,0,0,0
1,0,0,0,0
2,1,0,1,0
0,0,4,5,5
2,0,4,7,3
1,0,2,7,3
0,0,0,7,3
0,0,0,6,2
2,2,0,6,4
0,0,2,8,7
0,1,1,8,10
0,0,2,6,9
0,1,0,7,4
0,0,0,4,9
0,1,1,5,6
1,5,6,5,3
0,3,4,5,8
3,7,5,8,3
0,1,9,10,2
0,3,5,11,6
0,0,5,10,4
0,0,5,8,5
0,1,5,7,7
1,0,6,9,6
0,0,7,8,10
0,2,2,9,11
2,0,4,11,11
0,1,4,3,7
0,1,2,6,8
0,1,4,5,7
0,7,9,4,6
0,7,7,7,7
0,4,5,6,4
0,0,7,11,10
1,0,7,11,7
0,0,6,10,9
0,0,5,10,8
0,1,2,12,8
0,1,3,11,6
0,1,6,9,12
0,0,4,11,10
0,0,5,10,11
0,2,0,5,8
0,0,3,7,11
0,0,3,7,8
0,4,6,2,3
0,7,5,6,2
1,6,4,6,3
2,2,2,0,1
1,0,0,0,1
1,2,0,0,0
0,0,1,1,2
0,1,0,0,0
0,1,0,0,0
0,0,0,1,4
1,0,0,1,2
0,1,0,0,2
0,0,0,0,7
0,0,0,0,5
0,1,0,2,4
