"0","3","6","9","12","15","18","21","24","27","30","33","36","39","42","45","48","51","54","57","60","63","66","69"
0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,3,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,2
0,0,0,0,1,1,0,0,0,0,1,0,2,1,3,0,0,0,0,0,0,0,5,5
1,1,0,0,0,0,0,0,0,1,1,1,0,0,2,0,1,0,0,0,3,1,7,9
0,1,0,0,0,1,0,1,2,0,1,0,1,1,3,0,0,0,0,0,0,4,9,7
0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,2,1,0,0,1,3,6,7,8
1,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,2,1,8,7
0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,5,6,7
