"0","3","6","9","12","15","18","21","24","27","30","33","36","39","42","45","48","51","54","57","60","63","66","69"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,1
0,1,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0,1,0,0,2,2,1,1,2,3,3,3,0,0,0,0
1,0,0,0,2,0,0,0,0,0,0,0,4,3,2,2,0,2,3,0,1,1,0,0
2,1,0,0,0,2,0,1,0,0,0,2,1,1,0,1,3,4,5,0,1,0,0,0
0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,1,0,1,4,2,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,2,0,0,2,2,2,0,0,0
0,0,0,0,1,2,0,0,0,1,0,0,1,2,0,3,3,3,2,1,2,0,1,0
1,0,0,1,0,0,0,0,0,0,0,0,3,5,0,2,1,0,5,4,5,4,9,6
0,0,0,0,0,0,0,0,2,0,0,0,3,2,1,4,4,2,4,6,3,7,5,9
0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,2,1,1,5,4,4,6,7
0,1,0,0,0,0,1,0,0,2,0,0,1,0,2,0,2,0,0,0,3,5,6,9
3,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,3,6,6
0,0,3,0,0,1,2,1,0,1,0,0,0,0,0,0,1,2,0,0,3,3,7,8
0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,0,2,1,0,0,2,0,2
0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,1,0,0
0,0,1,2,1,0,0,0,1,0,1,1,4,2,4,5,4,8,10,12,7,6,8,4
