"id","values","type","exposure","strain","order","primed","group","end","next_t"
"G1E1SB",28,"all","B","A",1,0,1,100,42
"G1E1SB",28,"all","B","B",1,0,1,100,42
"G1E1SB",28,"all","B","C",1,0,1,100,42
"G1E1SD",28,"all","D","D",1,0,1,100,42
"G1E1SD",28,"all","D","E",1,0,1,100,42
"G1E2SC",42,"all","C","A",2,0,1,100,70
"G1E2SC",42,"all","C","B",2,0,1,100,70
"G1E2SC",42,"all","C","C",2,0,1,100,70
"G1E2SD",42,"all","D","D",2,0,1,100,70
"G1E2SD",42,"all","D","E",2,0,1,100,70
"G1E3SE",70,"all","E","A",3,0,1,100,100
"G1E3SE",70,"all","E","B",3,0,1,100,100
"G1E3SE",70,"all","E","C",3,0,1,100,100
"G1E3SE",70,"all","E","D",3,0,1,100,100
"G1E3SE",70,"all","E","E",3,0,1,100,100
"G2E1SB",28,"all","B","A",1,0,2,100,42
"G2E1SB",28,"all","B","B",1,0,2,100,42
"G2E1SB",28,"all","B","C",1,0,2,100,42
"G2E1SD",28,"all","D","D",1,0,2,100,42
"G2E1SD",28,"all","D","E",1,0,2,100,42
"G2E2SC",42,"all","C","A",2,0,2,100,70
"G2E2SC",42,"all","C","B",2,0,2,100,70
"G2E2SC",42,"all","C","C",2,0,2,100,70
"G2E2SD",42,"all","D","D",2,0,2,100,70
"G2E2SD",42,"all","D","E",2,0,2,100,70
"G2E3SE",70,"all","E","A",3,0,2,100,100
"G2E3SE",70,"all","E","B",3,0,2,100,100
"G2E3SE",70,"all","E","C",3,0,2,100,100
"G2E3SE",70,"all","E","D",3,0,2,100,100
"G2E3SE",70,"all","E","E",3,0,2,100,100
"G3E1SA",0,"all","A","A",1,0,3,100,28
"G3E1SA",0,"all","A","B",1,0,3,100,28
"G3E1SA",0,"all","A","C",1,0,3,100,28
"G3E1SA",0,"all","A","D",1,0,3,100,28
"G3E1SA",0,"all","A","E",1,0,3,100,28
"G3E2SB",28,"all","B","A",2,0,3,100,42
"G3E2SB",28,"all","B","B",2,0,3,100,42
"G3E2SB",28,"all","B","C",2,0,3,100,42
"G3E2SD",28,"all","D","D",2,0,3,100,42
"G3E2SD",28,"all","D","E",2,0,3,100,42
"G3E3SD",42,"all","D","D",3,0,3,100,70
"G3E3SD",42,"all","D","E",3,0,3,100,70
"G3E3SC",42,"all","C","A",3,0,3,100,70
"G3E3SC",42,"all","C","B",3,0,3,100,70
"G3E3SC",42,"all","C","C",3,0,3,100,70
"G3E4SE",70,"all","E","A",4,0,3,100,100
"G3E4SE",70,"all","E","B",4,0,3,100,100
"G3E4SE",70,"all","E","C",4,0,3,100,100
"G3E4SE",70,"all","E","D",4,0,3,100,100
"G3E4SE",70,"all","E","E",4,0,3,100,100
"G4E1SA",0,"all","A","A",1,0,4,100,28
"G4E1SA",0,"all","A","B",1,0,4,100,28
"G4E1SA",0,"all","A","C",1,0,4,100,28
"G4E1SA",0,"all","A","D",1,0,4,100,28
"G4E1SA",0,"all","A","E",1,0,4,100,28
"G4E2SB",28,"all","B","A",2,0,4,100,42
"G4E2SB",28,"all","B","B",2,0,4,100,42
"G4E2SB",28,"all","B","C",2,0,4,100,42
"G4E2SD",28,"all","D","D",2,0,4,100,42
"G4E2SD",28,"all","D","E",2,0,4,100,42
"G4E3SC",42,"all","C","A",3,0,4,100,70
"G4E3SC",42,"all","C","B",3,0,4,100,70
"G4E3SC",42,"all","C","C",3,0,4,100,70
"G4E3SD",42,"all","D","D",3,0,4,100,70
"G4E3SD",42,"all","D","E",3,0,4,100,70
"G4E4SE",70,"all","E","A",4,0,4,100,100
"G4E4SE",70,"all","E","B",4,0,4,100,100
"G4E4SE",70,"all","E","C",4,0,4,100,100
"G4E4SE",70,"all","E","D",4,0,4,100,100
"G4E4SE",70,"all","E","E",4,0,4,100,100
"G5E1SA",0,"all","A","A",1,0,5,100,70
"G5E1SA",0,"all","A","B",1,0,5,100,70
"G5E1SA",0,"all","A","C",1,0,5,100,70
"G5E1SA",0,"all","A","D",1,0,5,100,70
"G5E1SA",0,"all","A","E",1,0,5,100,70
"G5E2SE",70,"all","E","A",2,0,5,100,100
"G5E2SE",70,"all","E","B",2,0,5,100,100
"G5E2SE",70,"all","E","C",2,0,5,100,100
"G5E2SE",70,"all","E","D",2,0,5,100,100
"G5E2SE",70,"all","E","E",2,0,5,100,100
