"runID","parTab_file","exposureTab_file","form","antigenic_seniority","cr","priming","types","wane","y0_mod","runName","data_file"
"weekly","inputs_Jan2019/sim_best_model/CYAY6MY/weekly_CYAY6MY_parTab.csv","inputs/exposureTabs/D_exposureTab.csv","C","Y","A","Y",6,"M","Y","CYAY6MY","inputs_Jan2019/sim_best_model/CYAY6MY/weekly_CYAY6MY_data.csv"
"3days","inputs_Jan2019/sim_best_model/CYAY6MY/3days_CYAY6MY_parTab.csv","inputs/exposureTabs/D_exposureTab.csv","C","Y","A","Y",6,"M","Y","CYAY6MY","inputs_Jan2019/sim_best_model/CYAY6MY/3days_CYAY6MY_data.csv"
"protocol","inputs_Jan2019/sim_best_model/CYTY6MY/protocol_CYTY6MY_parTab.csv","inputs/exposureTabs/D_exposureTab.csv","C","Y","T","Y",6,"M","Y","CYTY6MY","inputs_Jan2019/sim_best_model/CYTY6MY/protocol_CYTY6MY_data.csv"
"weekly","inputs_Jan2019/sim_best_model/CYTY6MY/weekly_CYTY6MY_parTab.csv","inputs/exposureTabs/D_exposureTab.csv","C","Y","T","Y",6,"M","Y","CYTY6MY","inputs_Jan2019/sim_best_model/CYTY6MY/weekly_CYTY6MY_data.csv"
"3days","inputs_Jan2019/sim_best_model/CYTY6MY/3days_CYTY6MY_parTab.csv","inputs/exposureTabs/D_exposureTab.csv","C","Y","T","Y",6,"M","Y","CYTY6MY","inputs_Jan2019/sim_best_model/CYTY6MY/3days_CYTY6MY_data.csv"
"protocol","inputs_Jan2019/sim_best_model/CYAY6BY/protocol_CYAY6BY_parTab.csv","inputs/exposureTabs/D_exposureTab.csv","C","Y","A","Y",6,"B","Y","CYAY6BY","inputs_Jan2019/sim_best_model/CYAY6BY/protocol_CYAY6BY_data.csv"
"weekly","inputs_Jan2019/sim_best_model/CYAY6BY/weekly_CYAY6BY_parTab.csv","inputs/exposureTabs/D_exposureTab.csv","C","Y","A","Y",6,"B","Y","CYAY6BY","inputs_Jan2019/sim_best_model/CYAY6BY/weekly_CYAY6BY_data.csv"
"3days","inputs_Jan2019/sim_best_model/CYAY6BY/3days_CYAY6BY_parTab.csv","inputs/exposureTabs/D_exposureTab.csv","C","Y","A","Y",6,"B","Y","CYAY6BY","inputs_Jan2019/sim_best_model/CYAY6BY/3days_CYAY6BY_data.csv"
"protocol","inputs_Jan2019/sim_best_model/CYTY6BY/protocol_CYTY6BY_parTab.csv","inputs/exposureTabs/D_exposureTab.csv","C","Y","T","Y",6,"B","Y","CYTY6BY","inputs_Jan2019/sim_best_model/CYTY6BY/protocol_CYTY6BY_data.csv"
"weekly","inputs_Jan2019/sim_best_model/CYTY6BY/weekly_CYTY6BY_parTab.csv","inputs/exposureTabs/D_exposureTab.csv","C","Y","T","Y",6,"B","Y","CYTY6BY","inputs_Jan2019/sim_best_model/CYTY6BY/weekly_CYTY6BY_data.csv"
"3days","inputs_Jan2019/sim_best_model/CYTY6BY/3days_CYTY6BY_parTab.csv","inputs/exposureTabs/D_exposureTab.csv","C","Y","T","Y",6,"B","Y","CYTY6BY","inputs_Jan2019/sim_best_model/CYTY6BY/3days_CYTY6BY_data.csv"
"protocol","inputs_Jan2019/sim_best_model/CYAY6MN/protocol_CYAY6MN_parTab.csv","inputs/exposureTabs/D_exposureTab.csv","C","Y","A","Y",6,"M","N","CYAY6MN","inputs_Jan2019/sim_best_model/CYAY6MN/protocol_CYAY6MN_data.csv"
"weekly","inputs_Jan2019/sim_best_model/CYAY6MN/weekly_CYAY6MN_parTab.csv","inputs/exposureTabs/D_exposureTab.csv","C","Y","A","Y",6,"M","N","CYAY6MN","inputs_Jan2019/sim_best_model/CYAY6MN/weekly_CYAY6MN_data.csv"
"3days","inputs_Jan2019/sim_best_model/CYAY6MN/3days_CYAY6MN_parTab.csv","inputs/exposureTabs/D_exposureTab.csv","C","Y","A","Y",6,"M","N","CYAY6MN","inputs_Jan2019/sim_best_model/CYAY6MN/3days_CYAY6MN_data.csv"
"protocol","inputs_Jan2019/sim_best_model/CYAY6BN/protocol_CYAY6BN_parTab.csv","inputs/exposureTabs/D_exposureTab.csv","C","Y","A","Y",6,"B","N","CYAY6BN","inputs_Jan2019/sim_best_model/CYAY6BN/protocol_CYAY6BN_data.csv"
"weekly","inputs_Jan2019/sim_best_model/CYAY6BN/weekly_CYAY6BN_parTab.csv","inputs/exposureTabs/D_exposureTab.csv","C","Y","A","Y",6,"B","N","CYAY6BN","inputs_Jan2019/sim_best_model/CYAY6BN/weekly_CYAY6BN_data.csv"
"3days","inputs_Jan2019/sim_best_model/CYAY6BN/3days_CYAY6BN_parTab.csv","inputs/exposureTabs/D_exposureTab.csv","C","Y","A","Y",6,"B","N","CYAY6BN","inputs_Jan2019/sim_best_model/CYAY6BN/3days_CYAY6BN_data.csv"
"protocol","inputs_Jan2019/sim_best_model/CYTY6BN/protocol_CYTY6BN_parTab.csv","inputs/exposureTabs/D_exposureTab.csv","C","Y","T","Y",6,"B","N","CYTY6BN","inputs_Jan2019/sim_best_model/CYTY6BN/protocol_CYTY6BN_data.csv"
"weekly","inputs_Jan2019/sim_best_model/CYTY6BN/weekly_CYTY6BN_parTab.csv","inputs/exposureTabs/D_exposureTab.csv","C","Y","T","Y",6,"B","N","CYTY6BN","inputs_Jan2019/sim_best_model/CYTY6BN/weekly_CYTY6BN_data.csv"
"3days","inputs_Jan2019/sim_best_model/CYTY6BN/3days_CYTY6BN_parTab.csv","inputs/exposureTabs/D_exposureTab.csv","C","Y","T","Y",6,"B","N","CYTY6BN","inputs_Jan2019/sim_best_model/CYTY6BN/3days_CYTY6BN_data.csv"
