runID,Model Form,Antigenic Seniority,Cross Reactivity,Priming,Typed exposures,Waning,Titre dependent boosting,BIC,WAIC,Minimum ESS Parameter,Minimum ESS Value,Max Gelman PSRF Parameter,Max Gelman PSRF,Gelman MPSRF,δWAIC,δBIC
96,Isolated,Absent,Type specific,Present,3 types,Biphasic,Absent,1069.0288361653,1014.2399640822,μ1,22622.0400661169,σ,1.055861771,1.0010787376,101.9048689247,51.1571512388
95,Isolated,Absent,Universal,Present,3 types,Biphasic,Absent,1075.0741186809,1019.4330714366,dp,9593.4671263527,dp2,1.0052369445,1.0012286746,107.0979762791,57.2024337544
24,Competitive,Absent,Type specific,Present,3 types,Biphasic,Present,1076.0938963891,1028.1332421073,ts,14547.1564124516,m,1.0209533236,1.0010996389,115.7981469498,58.2222114626
88,Isolated,Absent,Type specific,Present,3 types,Biphasic,Present,1073.5520791248,1036.8791130577,μ1,3575.6623267274,σ,1.0163467815,1.0037382577,124.5440179002,55.6803941983
56,Competitive,Present,Type specific,Present,3 types,Biphasic,Present,1049.3520556192,1040.870407656,γ,8330.1044508486,m,1.1209757862,1.0014634997,128.5353124985,31.4803706927
115,Isolated,Present,Universal,Present,3 types,Monophasic,Present,1054.6759779347,1046.8380423766,σ,23201.0003357931,σ,1.0025841585,1.0005871439,134.5029472191,36.8042930082
51,Competitive,Present,Universal,Present,3 types,Monophasic,Present,1076.3949193983,1055.0906632051,c,46529.2844696467,β,1.0015724256,1.0003564336,142.7555680476,58.5232344718
18,Competitive,Absent,Type specific,Present,6 types,Monophasic,Present,1074.2935624629,1063.73596887,m2,7303.0686385318,σ,1.0135028649,1.0008086823,151.4008737125,56.4218775364
81,Isolated,Absent,Universal,Present,6 types,Monophasic,Present,1063.7637260545,1069.6050356565,γ,1629.9526322557,γ,1.023434741,1.0125695048,157.269940499,45.892041128
52,Competitive,Present,Type specific,Present,3 types,Monophasic,Present,1080.002783938,1081.0612176854,σ,26540.2312792813,β,1.0010690328,1.0004335524,168.7261225279,62.1310990115
