"0","21","37","49","70"
0,0,1,1,0
1,0,0,2,0
1,0,0,2,1
2,0,4,6,3
6,2,7,5,6
1,1,3,6,2
0,0,0,7,0
1,0,2,8,3
0,2,5,2,2
0,0,0,3,9
0,3,6,5,7
1,0,4,7,7
0,1,2,0,9
2,0,1,0,10
0,2,0,1,6
1,0,0,1,0
0,0,1,0,3
0,0,1,0,4
1,3,6,7,5
0,0,5,3,1
3,0,4,11,6
0,4,3,7,9
0,0,5,8,5
0,1,1,3,12
0,2,0,8,9
3,1,6,5,12
1,0,4,11,9
0,0,0,3,4
0,0,4,8,9
0,0,2,1,11
0,11,4,9,6
0,4,7,7,0
0,3,5,3,5
0,0,2,2,4
0,0,4,8,6
0,0,0,3,4
0,2,1,3,3
0,0,2,7,1
0,2,0,1,3
2,0,2,6,8
2,0,3,3,10
0,1,4,9,8
3,1,0,7,5
0,0,0,0,6
0,0,0,3,9
1,8,7,6,5
0,11,1,4,5
0,2,2,2,8
0,0,3,5,10
0,1,7,8,7
0,3,3,6,7
0,0,3,11,6
0,0,6,9,9
0,1,3,7,7
0,0,6,7,11
0,0,6,10,12
0,0,6,10,7
0,0,0,4,12
0,3,1,2,7
3,0,2,2,9
4,3,6,4,0
0,8,8,0,0
3,4,7,1,3
3,0,0,0,0
0,2,2,0,3
0,0,0,0,0
0,1,0,3,0
0,0,0,5,1
0,0,0,0,3
6,0,3,1,5
0,0,0,0,0
0,0,0,0,5
0,1,0,0,4
1,0,3,4,6
1,0,1,0,5
