"0","21","37","49","70"
3,3,2,3,1
0,0,0,3,1
1,0,0,0,0
0,1,2,6,2
1,0,0,2,0
0,4,2,8,5
1,0,1,1,4
2,0,2,6,4
0,3,0,4,4
3,0,6,7,12
1,0,4,7,12
0,1,8,6,12
1,0,0,0,9
0,0,5,0,12
1,0,0,0,10
2,0,0,0,1
2,1,0,2,0
3,1,0,1,3
3,3,2,11,7
2,0,0,8,11
0,1,0,8,8
0,0,0,6,7
0,0,4,7,10
1,0,5,8,9
1,3,2,6,12
0,0,1,8,12
0,0,2,10,12
0,1,0,6,12
2,0,3,6,12
0,0,2,6,12
2,7,4,8,7
2,5,8,6,3
0,8,6,11,2
1,1,4,6,0
0,0,1,7,2
1,0,6,3,2
0,0,2,7,8
0,2,4,8,2
0,0,4,6,2
0,0,8,8,12
1,2,6,8,12
0,0,5,2,12
0,3,2,0,11
0,1,0,0,12
2,0,0,0,8
0,6,10,7,2
1,9,9,6,3
0,6,7,9,5
0,2,2,11,2
0,1,9,6,7
0,0,9,8,2
3,2,4,10,6
3,0,4,8,10
2,0,3,11,8
0,2,2,6,12
0,0,1,9,12
0,0,5,6,12
1,0,0,7,12
0,0,1,5,12
0,0,0,4,12
0,7,6,2,2
0,4,4,5,0
4,8,8,5,3
0,0,0,0,3
0,0,0,0,2
0,0,0,0,3
0,1,0,1,4
0,0,0,0,3
0,1,1,0,0
0,0,1,1,8
0,0,0,1,12
0,1,0,0,9
0,0,0,0,11
0,0,0,2,12
0,0,0,3,11
