"0","21","37","49","70"
1,0,0,0,0
0,0,0,0,2
0,0,0,1,0
0,7,3,3,3
2,0,1,5,4
4,2,0,8,5
0,0,3,7,0
2,1,2,7,2
0,0,6,6,4
4,0,5,7,8
0,3,4,4,11
0,0,4,7,9
2,0,0,2,8
0,0,1,0,9
0,0,4,0,6
4,0,0,0,0
2,4,0,0,0
0,0,0,0,0
0,4,5,10,3
2,0,2,8,3
0,0,6,5,0
0,0,4,8,2
0,1,6,5,5
0,0,3,9,6
0,2,3,12,9
0,1,4,12,11
0,1,1,10,10
0,0,0,3,8
0,0,6,4,7
0,0,3,2,12
0,6,7,6,5
1,8,6,9,5
0,9,6,1,5
0,0,7,4,8
1,0,7,3,10
0,1,5,4,2
2,0,0,5,1
3,0,2,1,3
0,1,4,8,4
0,0,6,6,11
0,5,0,4,7
0,1,1,7,9
0,0,0,0,7
0,0,0,5,5
1,0,0,3,5
0,10,6,4,2
3,6,3,6,6
0,6,7,1,8
0,0,0,7,7
0,1,3,7,1
1,2,6,12,4
1,0,5,6,10
1,1,6,9,5
3,0,6,8,1
1,3,6,7,9
3,0,7,11,11
0,1,6,8,10
5,0,5,3,12
0,0,0,1,5
0,0,3,4,12
0,8,4,4,3
0,3,8,0,4
2,7,3,2,2
0,0,0,0,0
0,1,0,0,3
0,0,1,0,3
0,0,3,2,0
0,0,0,0,3
0,0,2,0,0
0,3,1,0,0
0,0,0,0,1
1,0,0,0,2
0,0,0,0,6
0,0,0,3,4
0,0,0,0,9
